1568851200000,9881.43000000,10305.58000000,9828.59000000,10254.92000000,1.05104800,1568937599999,10606.99207347,112,0.60263400,6096.56953028,0
1568937600000,10214.31000000,10233.53000000,10078.91000000,10171.06000000,6.91618400,1569023999999,70213.72288453,196,0.91620500,9329.24244831,0
1569024000000,10169.44000000,10169.44000000,9940.27000000,9998.87000000,3.05303100,1569110399999,30486.04738169,72,1.85679400,18540.51862740,0
1569110400000,9928.07000000,10050.12000000,9874.30000000,10010.53000000,1.79765300,1569196799999,17854.81312934,57,1.52885600,15162.03646409,0
1569196800000,10037.70000000,10037.70000000,9612.75000000,9706.93000000,28.14577800,1569283199999,274925.82623252,669,4.57070800,44885.71669851,0
1569283200000,9675.42000000,9783.10000000,1800.00000000,8499.75000000,65.02052500,1569369599999,596614.90550655,1575,10.98282100,97743.01942379,0
1569369600000,8558.92000000,8728.04000000,8225.58000000,8436.75000000,30.05952600,1569455999999,252669.63873415,477,19.78058000,166212.02960804,0
1569456000000,8415.14000000,8461.31000000,7200.00000000,8067.78000000,77.13785400,1569542399999,622208.40066501,1383,23.26436700,189678.32188716,0
1569542400000,8067.78000000,8257.25000000,7853.53000000,8187.15000000,20.75094500,1569628799999,166690.36188324,443,11.33979100,91183.75404454,0
1569628800000,8187.15000000,8319.86000000,8016.75000000,8206.39000000,24.09976600,1569715199999,197083.63658268,479,19.32353700,158225.88597440,0
1569715200000,8159.65000000,8167.83000000,7911.75000000,8064.00000000,15.71953000,1569801599999,125975.93765580,390,10.07836100,80954.09945247,0
1569801600000,8045.91000000,8346.43000000,7719.48000000,8263.50000000,44.65274900,1569887999999,363184.31740895,767,34.95918600,285558.47943556,0
1569888000000,8297.79000000,8503.08000000,8182.04000000,8308.00000000,73.12077300,1569974399999,611160.33591218,1379,56.80029000,475185.85841845,0
1569974400000,8296.82000000,8378.05000000,8169.00000000,8368.29000000,30.80336100,1570060799999,254801.33945611,613,25.40042700,210174.32878764,0
1570060800000,8371.98000000,8400.00000000,8085.71000000,8237.25000000,18.55860700,1570147199999,153462.51245826,393,15.30993500,126870.26446843,0
1570147200000,8232.01000000,8237.22000000,8013.23000000,8176.66000000,10.06803600,1570233599999,81935.28111826,172,5.48429700,44782.57220852,0
1570233600000,8144.23000000,8190.52000000,8028.39000000,8118.26000000,10.94865600,1570319999999,88841.73679568,224,7.41678500,60279.91644458,0
1570320000000,8130.94000000,8158.52000000,7793.53000000,7848.27000000,22.82687400,1570406399999,182084.16487535,513,15.54920400,124071.64234783,0
1570406400000,7829.06000000,8290.04000000,7793.52000000,8237.68000000,41.40938700,1570492799999,336166.21056978,779,33.13493300,269197.72293003,0
1570492800000,8217.83000000,8325.58000000,8114.65000000,8185.61000000,22.09953300,1570579199999,181625.60117293,409,14.03095400,115465.89674580,0
1570579200000,8196.59000000,8662.59000000,8129.69000000,8581.34000000,57.82468800,1570665599999,489857.51004582,1493,21.29745900,179531.15496060,0
1570665600000,8587.06000000,8650.91000000,8458.53000000,8576.00000000,32.45908700,1570751999999,277809.64563494,535,22.04490000,188962.36917447,0
1570752000000,8564.94000000,8798.63000000,8234.82000000,8261.18000000,61.82048900,1570838399999,521398.68192831,1460,22.90058000,194086.84769465,0
1570838400000,8267.51000000,8410.74000000,8261.76000000,8304.69000000,39.60423700,1570924799999,330942.70262171,1137,15.89186500,132643.66168864,0
1570924800000,8302.89000000,8455.22000000,8159.96000000,8281.10000000,105.31993700,1571011199999,878683.82468021,2287,46.71947600,390527.71262872,0
1571011200000,8275.21000000,8388.71000000,8214.42000000,8352.73000000,128.87475800,1571097599999,1070228.71440688,2199,76.63479300,636222.82375316,0
1571097600000,8352.74000000,8409.44000000,8100.00000000,8163.65000000,126.54520400,1571183999999,1046517.64910566,3132,54.00705400,447271.54569654,0
1571184000000,8163.65000000,8178.48000000,7911.20000000,7999.98000000,165.89398000,1571270399999,1330664.79759996,4316,63.79847500,512221.19623730,0
1571270400000,7999.49000000,8114.27000000,7939.55000000,8074.53000000,64.41325600,1571356799999,518136.29918857,3773,40.12043200,322880.11386431,0
1571356800000,8075.80000000,8119.87000000,7825.01000000,7952.40000000,192.75113700,1571443199999,1529772.69698070,7675,77.16735800,612614.90039311,0
1571443200000,7953.87000000,8100.00000000,7880.00000000,7950.66000000,308.70305400,1571529599999,2457092.25712116,10060,159.10610500,1267244.06207669,0
1571529600000,7951.76000000,8316.20000000,7876.30000000,8232.05000000,335.74733400,1571615999999,2713818.96587836,11769,194.08011200,1570009.27207922,0
1571616000000,8232.22000000,8330.00000000,8153.00000000,8212.88000000,211.69402400,1571702399999,1742138.84862117,7169,102.18803400,841332.33860039,0
1571702400000,8212.88000000,8300.00000000,8005.00000000,8027.83000000,202.78402200,1571788799999,1660835.26498525,6111,82.05892500,672789.50347036,0
1571788800000,8026.00000000,8050.86000000,7299.66000000,7470.38000000,363.49962800,1571875199999,2772013.91000964,9121,174.53147800,1326959.55547883,0
1571875200000,7469.85000000,7510.48000000,7344.18000000,7424.77000000,210.35410600,1571961599999,1565128.98705741,6716,84.86266900,631968.75582609,0
1571961600000,7422.75000000,8770.00000000,7392.81000000,8666.87000000,787.25369100,1572047999999,6465692.41995773,18253,418.49299900,3428411.02885357,0
1572048000000,8666.92000000,10350.00000000,8655.00000000,9250.53000000,1595.11901600,1572134399999,14932223.26149787,28454,753.93672400,7049068.28225095,0
1572134400000,9248.83000000,9800.00000000,9095.83000000,9550.78000000,932.15602500,1572220799999,8828410.59692566,17508,451.69721700,4272423.73932097,0
